,brand_name,price,pred,name,name_token,item_description
21079,Wizards of the Coast,58.0,13.3726507378,magic the gathering,magic the gathering,"mirari's wake vorinclex, voice of hunger freyalise, llanowar's fury exploration"
16893,_missing_,161.0,38.4633381407,fear of god metallica hoodie,fear of god metallica hoodie,fear of god collection two size s (boxy fit) tags on
146902,_missing_,3.0,15.4205040818,devil,devil,big devil bear that honk honk burning love
3245,_missing_,56.0,12.8806002164,dress,dress,selling this below the knee dress. sweetheart front. zips up in back. medium size. worn one night. cream color/gold.
115204,Sephora,70.0,16.2861130562,ciate nail polish box lot,ciate nail polish box lot,all new mini and full size
43800,Barbie,87.0,20.4211582683,barbie bundle hold for jennifermegaw,barbie bundle hold for jennifermegaw,you get everything in the photos
120045,_missing_,85.0,19.9304939013,brand new make up suitcase,brand new make up suitcase,no description yet
107082,Imaginext,3.0,15.4418553992,imaginext venom character for alexus,imaginext venom character for alexus,venom imaginext
8312,_missing_,94.0,22.1046992416,hold for katde,hold for katde,trifexis 10-20lb and 20-40lb. both 6 packs
130905,_missing_,4.0,19.579322104,louis vuitton bag lock,louis vuitton bag lock,great for securing luggage or a handbag.
92792,_missing_,83.0,19.4053564123,bundle for nohemi,bundle for nohemi,knee high boots & franco sartos
36729,_missing_,295.0,70.8950734704,on hold! sale bundle,on hold sale bundle,beautiful set! all my bags and wallet are authentic.
109272,Lilly Pulitzer,160.0,38.0838512839,lilly pulitzer originals queen of green,lilly pulitzer originals queen of green,"lilly pulitzer originals ""queen of green"" shift. excellent used condition. no flaws. size 4"
24210,_missing_,8.0,36.0833769904,taxi by cofinluxe 3.4 oz,taxi by cofinluxe 34 oz,"taxi by cofinluxe for men eau de toilette 3.4 oz fragrance notes: ambergris, lavender, bergamot, star anise, musk, nutmeg and sandalwood. all perfumes are 100% authentic. they are brand new in the box sealed and never opened. *bundle perfumes to save on shipping. same day shipping monday-friday before 1 p.m* (this perfume retails: [rm])"
144846,_missing_,156.0,37.095259318,bundle for teran***4 blankets,bundle for teran4 blankets,"galaxy, nimbus print and blue (yellow not included) and true tula blanket. new with tags from a smoke free home. comes with bag! ships within 24 hours."
115360,Seresto,156.0,37.0779568427,krystin seresto special order,krystin seresto special order,3 large dog 2 small dog 1 cat free shipping.
55407,Lancome,84.0,19.5997169669,perfume,perfume,lancome 2.5 oz la vie est belle l'eau de parfum
139175,_missing_,110.0,25.8929297988,michael andreano bundle.,michael andreano bundle,medical nursing textbooks.
98518,Christian Louboutin,10.0,44.4159469037,vibram sole protect christian louboutin,vibram sole protect christian louboutin,vibram sole protectors for heels of all sizes! 2 come in a set. used mainly for christian louboutin because of the close color match. most popular brand to use is vibram. only 1 mm thick and flexible to fit perfect. size is 5 inches by 3.5 inches. measure shoes before purchase please! this size fits most but if a larger size is needed please message me i can cut a set custom in about 5 minutes for you :) i can offer discounts on multiple sets purchased at one time.
73222,_missing_,83.0,19.3439014702,round basket bag with bow clasp,round basket bag with bow clasp,new but came without tags.
114652,Sony,94.0,391.264339477,ps4  500gb ,ps4 500gb,selling my ps4  500gb  with controller and power cord with a hdmi cable. it's like new
137794,_missing_,73.0,16.918857192,paw patrol,paw patrol,great condition. 8 paw patrol toys retail [rm]
142831,_missing_,59.0,13.5200019899,montce swim set,montce swim set,montce swim - lilo blue dopio top size l montce swim - lilo blue uno braided bottom size l runs small pads not included never worn the bottoms
75244,LuLaRoe,150.0,35.5225018279,xxs carly 6 total,xxs carly 6 total,no description yet
26710,_missing_,70.0,16.1640008435,vs lanyards for becki5926,vs lanyards for becki5926,15 black and white lanyard 5 green and black 6 teal and black lanyard 5 teal with pink for becki5926
59947,_missing_,54.0,12.2919339559,zebra print jewelry armoire,zebra print jewelry armoire,"good condition, lots of jewelry space. just missing interior mirror."
16300,_missing_,96.0,22.4375382313,prismacolor art markers 72 count,prismacolor art markers 72 count,opened but never used. new. originally [rm]. price firm.
67764,Clinique,35.0,7.69681368896,brand new! clinique cleaning brush,brand new clinique cleaning brush,no description yet
52810,Samsung,209.0,49.727219194,2 samsung galaxy s5 phones,2 samsung galaxy s5 phones,used no screen cracks
94751,Britax,10.0,44.5377850076,britax baby rear car seat mirror,britax baby rear car seat mirror,excellent condition. used for a few months. i have two.
11217,_missing_,69.0,15.9087660563,cheer extreme rhinestone warmup jacket,cheer extreme rhinestone warmup jacket,only worn a couple of times. in great condition!! size is youth large. spandex material. no flaws
101253,_missing_,14.0,61.0998039677,sz 9.5 stunning princess cut bridal set,sz 95 stunning princess cut bridal set,gorgeous princess cut wedding/bridal ring set! beautiful ruby red cz in the center surrounded by a cluster of ruby red & teal blue gemstones! set on rhodium gold plated band with matching wedding band with ruby red gemstones. women's size 9.5 2 piece set includes engagement ring & wedding band. comes in a ring box. stones: ruby red cz & teal blue gemstones band color: gold rhodium gold plated material does not rust nor tarnish. high quality jewelry! only the very best materials and gemstones. ships usps with tracking number and insurance!
121846,American Girl  ,230.0,54.7497441999,"kendall, willa and emerson , and tenney",kendall willa and emerson and tenney,tenney willa emerson and kendall
110124,_missing_,225.0,53.5359955504,realborn kase asleep reborn doll,realborn kase asleep reborn doll,realborn kase asleep micro rooted painted with genesis heat set paints. weighted no flaws absolutely adorable doll i also accept payment plan!! message me for more info!
25426,Funko,4.0,19.7271782742,funko mini night at freddy's display box,funko mini night at freddy ' s display box,comes with the display box of the series! store all your collectible figures from the series together!
96992,_missing_,75.0,17.3287857908,for garchr772,for garchr772,mint chocolate vanilla
145187,_missing_,60.0,13.7050051983,art easel,art easel,great art easel! folds up for easy storage. in great shape. comes with oils (may or may not still be good. haven't used in a while.) and palate. paid [rm]...
50322,Coach,64.0,14.6668940959,coach keychain,coach keychain,coach koala keychain.
14749,Agent Provocateur,204.0,48.4092486396,agent provocateur one piece,agent provocateur one piece,this suit is fire!! shelby one piece. new with tags. size 3 runs small
30695,Funko,75.0,17.3153595006,set five night's at freddy's figures,set five night ' s at freddy ' s figures,**prices will go up 10% on the 18th when they start charging a fee** nwt unopened full set of funko five night's at freddy's figures. free shipping reasonable offers accepted.
20799,_missing_,110.0,25.7498764166,7 nwts women's workout outfit,7 nwts women ' s workout outfit,7 nwts workout outfits. all outfit are brand new with tags. they are all smalls bottoms and tops. they all are moisture wicking and very comfy stretch material. all tops and bottoms can be used in any sequence to make many more outfits. the sweatshirt is white to make it versitile with all outfits.
57504,_missing_,111.0,25.9860555755,jj winters vanessa messenger crossbody,jj winters vanessa messenger crossbody,retails for 525 approx 16x12x3 18 1/2inch drop super soft leathers lays to hip as seen in style mags...missing front chain was ...just for looks though
80811,_missing_,90.0,20.9202831153,redken steam infusion straightener,redken steam infusion straightener,"redken & rowenta steam infusion flat iron. salon professional straightener. never used, but no longer have the packaging. everything is fully functional with no flaws. originally bought for [rm]!"
67534,American Boy & Girl,100.0,23.3264541431,reserved for :just want to sale,reserved for just want to sale,bundle!!!! molly the doll book bag and desk
61173,Kat Von D,160.0,37.7743361669,kat von d matte metal/serpentina/glow,kat von d matte metal serpentina glow,"kat von d matte metal and kat von d serpentina, 100% authentic: matte metal is completely brand new and has never been swatched, the serpentina has been swatched and aside from one color looks new. sephora favorites glow for it set, everything inside is brand new and untouched:) if you have any questions please ask. please do not buy if you have no intention of rating within 24 hours of receiving your items."
10830,Christian Louboutin,450.0,107.601414254,louboutin leather heels,louboutin leather heels,"very cute, flat leather, size 38. all of the red is still on the bottom. never have touched the floor feel free to make me an offer:)"
105662,Nikon,10.0,44.6841343319,nikon 77mm lens cap,nikon 77mm lens cap,new : nikon lc-77 77mm front lens cap ! center pinch / snap-on type !
2817,Panasonic,9.0,40.5322778593,sold,sold,shipping label creation
12483,Wet n Wild,56.0,12.7131919082,wet n wild eyeliners +speedstick +razors,wet n wild eyeliners speedstick razors,new exactly as pictured price is for 70 eyeliners in assorted colors bundle of speed stick deodorant 4 packs schick quattro razors can be bundled with other listings
138229,_missing_,55.0,12.4588952689,rubbermaid containers over 60pieces,rubbermaid containers over 60pieces,new new sets of rubbermaid containers free dish drainer set nail grinder xl harness for 60lbs pet
9650,_missing_,221.0,52.3446580444,apple watch2 38mm,apple watch2 38mm,brand. new apple watch 2 . opened to take pictures. never worn or turned on. the bands pictured are not included per agreement with purchaser. cross listed
119396,Funko,100.0,23.2692656381,funko pop! heroes robin chase (metallic),funko pop heroes robin chase metallic,"check out my listing for other pop! , collectibles anime and manga"
7116,BCBGMAXAZRIA,147.0,34.5618735173,bcbg maxazria kinsey lace block dress,bcbg maxazria kinsey lace block dress,very elegant and classy dress. worn once for my graduation and has been dried clean since. excellent condition. size 0. originally [rm]
39922,Vera Bradley,100.0,23.2603882414,vera bradley midnight blues items,vera bradley midnight blues items,good condition has a couple worn spots. shown in picture.
83562,PINK,65.0,14.8497212377,vs pink,vs pink,the only flaw on this is it got a lil bit of dye from some jeans but when it's on it's not noticeable on the bottom left corner of the shirt!!
129042,_missing_,37.0,8.12419652765,for ark,for ark,2for ship
130289,Nike,85.0,19.6486189003,columbia 7s,columbia 7s,4c
58173,_missing_,7.0,32.3330812534,held for idonthave1,held for idonthave1,samsung note 4 case
106935,_missing_,5.0,24.0003159574,nano sim t-mobile for straight talk,nano sim tmobile for straight talk,nano sim for t-mobile phones for straight talk service and does not include service plan
65185,Spin Master,16.0,69.8436453348,hatchimals colleggables,hatchimals colleggables,no description yet
52203,_missing_,53.0,11.9544850929,lot of 2 belly for dolls,lot of 2 belly for dolls,"fit 18-22"" dolls, 1 bally is beautifully painted n sealed. smoke n pet free home free usa shipping"
30966,_missing_,75.0,17.2301099289,faber-castell pitt artist pens set of 32,fabercastell pitt artist pens set of 32,price is firm. no negotiations. brand new. ask about bundling before purchasing if you want more than one listing sent together. 11.4 ounces. retails for [rm]. thanks for looking.
44253,_missing_,50.0,11.2306397104,rainbow makeup brushes,rainbow makeup brushes,rainbow make up brushes and two silicone sponges 10 makeup brushes 2 silicone sponges
68663,Harley-Davidson,259.0,61.3182152044,harley davidson 110th limited leather,harley davidson 110th limited leather,paid [rm] for this amazing jacket a few years ago. i still have the tags to prove it. it's in excellent condition w no flaws. wore only a handful of times. decorated w swarovski crystal elements on the front and back. size 2w which is like a xxl. true to size. make offer i'm willing to negotiate the price.
1110,Victoria's Secret,49.0,10.97908552,victoria's secret panties,victoria ' s secret panties,size small
146058,_missing_,55.0,12.4162257328,freeship: kylie mini matte lipstick,freeship kylie mini matte lipstick,please read before commenting! **yes these are authentic. i ordered 3 during the last and final birthday collection restock **no i will not lower the price **ships without black kylie shipping box but it does come with the special kylie card **i will not sell the lipsticks separately price is firm!
113345,_missing_,99.0,22.9510644268,10 l a dodgers pillow 10 raiders nfl,10 l a dodgers pillow 10 raiders nfl,"the pillow would make great gift for birthdays,holidays, nap time, car rides, hospital stays, day cares & more. ~brand new~ ~handmade~ 10 dodgers pillow la dodgers mlb baseball 10 raiders nfl this cuddly cotton/flannel pillow is approximately 10  x 11"" also perfect for nap time, car seat, traveling, stroller rides, kids & teens rooms it is stuffed with 100% hypo-allergenic premium polyester fiber-filled the fabric is not the same on both sides back side is flannel as shown this is licensed fabric but not a licensed product... i am not sponsored by the manufacturer, or the licensor ...with this purchase you are only paying me for the time it takes to create your pillow"
24101,Funko,62.0,14.0825636794,indiana jones disney exclusive funko pop,indiana jones disney exclusive funko pop,box is damage. please look at pics for reference. don't forget to check out all my items for sale.
126394,Konami,25.0,5.22368297558,yu-gi-oh stardust dragon ghost rare,yugioh stardust dragon ghost rare,nm stardust dragon unlimited
64730,_missing_,30.0,6.41042823212,4 piece belly button ring set,4 piece belly button ring set,rotating amber sun capricorn hello kitty dangling heart
89517,_missing_,80.0,18.3604446582,polish pottery covered chicken platter,polish pottery covered chicken platter,"a great conversation piece and practical - cover your main course with this exquisite piece! 10.5"" x 14"" free shipping included"
69910,_missing_,70.0,15.9541663347,adult bigfoot costume worn once,adult bigfoot costume worn once,adult one size fits all big food costume i spent [rm] itnis well made
87686,_missing_,130.0,30.2814287194, 14k  white gold heart necklace,14k white gold heart necklace,description on last pic. beautiful necklace!
14874,_missing_,70.0,15.9462764138,private listing for beautiful,private listing for beautiful,no description yet
26643,_missing_,70.0,15.9376291956,new baby clothes,new baby clothes,"with tags and never used. baby boy clothing. sizes 0-3,3-6 and 6-9. included are bibs,pants shirts and more. about 30 pieces"
118519,Harley-Davidson,109.0,25.2323664101,harley davidson men's t-shirt bundle,harley davidson men ' s tshirt bundle,"one shirt pictured in 2nd picture has a few small stains at bottom of shirt. ([rm]) all other shirts like new. no stains, tears, or snags. all official harley apparel. 5 t-shirts are size 3 xl and 2 are size 2xl."
74373,_missing_,229.0,53.8184602494,bundle for anfernee,bundle for anfernee,mcm backpack mcm belt 2 lv belts
64467,_missing_,86.0,19.7330826972,kimaymejia,kimaymejia,4 brand new items 14pc bundle
48602,American Boy & Girl,166.0,38.7963939058,american girls collection box set 7 doll,american girls collection box set 7 doll,"american girls collection celebrating girls off yesterday mini doll set. includes 7 mini doll's. retired and never got played with. the big box shows some sings of wear .the doll are : kit,addy ,samantha,molly,josefina,kirsten and felicity. selling as a set only"
90374,Nintendo,59.0,13.2949117481,shatter hand nes,shatter hand nes,game has been tested and works great! price is firm but if you buy multiple items i can combine shipping to save you money. label peel on the top label and lower left on the front.
95723,Urban Outfitters,4.0,20.0145149306,hold for customer,hold for customer,"never wore out comes from a smoke free/pet free home if bundled 4 or more items, i will take care of shipping. check out my closet! all clothes [rm] or less"
76416,_missing_,80.0,18.2716226248,fitbit charge 2 2016 new open box,fitbit charge 2 2016 new open box,fitbit charge 2 new never used priced to sell.
73956,Louis Vuitton,28.0,120.910333814,louis vuitton signature wallet,louis vuitton signature wallet,i haven't had this for very long so there isn't much wear to it.there is the smallest rip tho on the edge of the fold (look at pic 4) but it's very minor and hardly noticeable at all.i purchased it like that cuz there was a huge percentage off due to the minor rip.
101630,Jimmy Choo,200.0,46.8083838617,jimmy choo crossbody clutch,jimmy choo crossbody clutch,authentic jimmy choo. suede interior. can be worn as clutch or crossbody
126666,GUESS,66.0,14.93443855,women's rose gold guess watch! mid size,women ' s rose gold guess watch mid size,women's u0111l3 sparkling hi-energy mid-size rose gold-tone watch
26506,_missing_,35.0,7.56056743041,toddler boys pants 3t,toddler boys pants 3t,different colors
118968,_missing_,89.0,20.3967262406,2 tubs 1 box,2 tubs 1 box,no description yet
16308,Conair,80.0,18.250215497,new conair fabric steamer 1600w,new conair fabric steamer 1600w,brand new in box ultimatr professional steamer conair fabric steamer 1600 watts insulated woven hose quick 45 second warm-up 360* rotating hanger clips for steaming pants safe for most fabrics
64396,Abbott,10.0,45.2979579022,one touch bundle,one touch bundle,"3 boxes of precision glucose test strips(expires 12-31-2017) 1 box of free style lancets 1 black case one touch monitor everything unopened, let's make a deal!"
72464,_missing_,104.0,23.9433512276,diamond ribbed emerald face gold watch,diamond ribbed emerald face gold watch,this is a great deal! it's still wrapped. no silly questions please.
122251,_missing_,804.0,190.139363337,princess cut diamond wedding ring,princess cut diamond wedding ring," 14k  solid gold diamond ring featuring a princess cut .30ct center diamond with an approximate total carat weight of .93cts - 1.00ct. no paperwork, comes as is. clarity info is unknown. size is 5.5 - will post more photos upon request"
45489,PINK,250.0,58.5707701617,victoria secret 3 x pink sherpa blanket,victoria secret 3 x pink sherpa blanket,brand new 3 x sherpa blanket & free surprise vs gift limited edition no trades and i don't hold for no one take a look at my closet have other fantastic items purchase 2 or more vs or pink item and receive a free surprise vs item with your purchase
56738,Tiffany & Co.,15.0,66.4839523842,tiffany & company elsa peretti earrings,tiffany company elsa peretti earrings,large hoop pierced earrings signed tiffany and co 925 elsa perretti - one of the posts are missing not sure if they are real however they are not magnetized bought from an estate sale.
62901,_missing_,180.0,41.9031833587,neon green & black synthetic saddle,neon green black synthetic saddle,"comes with matching headstall, split reins, saddle pad & breast collar. tags: tack horse horses riding saddle"
133896,Apple,80.0,18.1633822928,silver iphone 5s,silver iphone 5s,like new. no cracks on original screen. has a glass screen protector that is peeling slightly in the corners.  16gb 
125663,_missing_,69.0,15.5514291548,like new baby quiksilver/hurley lot,like new baby quiksilver hurley lot,like new boys size 12-18 months name brand lot.. quiksilver and hurley most of these have never been used only washed in dreft and hanged.. firm on price ** no free shipping thank you for looking..
26595,Pokemon,61.0,13.6457807291,hitmonlee pokemon + bundle,hitmonlee pokemon bundle,"hitmonlee pokemon holo + 1st edi magneton,1st edi haunter,1edi ditto,1st edi hitmonkee,1st edi rainbow energy,jolteon, raichu base 2,alakaxam, charizard base2 & zapdos"
32664,_missing_,225.0,52.3853162858,saxophone,saxophone,brand new in perfect condition! has never been used.
107361,_missing_,171.0,39.6278205566,gucci jacket,gucci jacket,no description yet
116308,_missing_,60.0,13.4020465234,stone age board game,stone age board game,like new purchased never used brand new has all pieces box has light creak g on the bottom barely noticeable in great condition otherwise smoke free home! pet friendly! please keep in mind price includes shipping! bundle to save! thanks for looking!
105798,_missing_,4.0,20.2034941419,(4) orogold 24k moisturizer cream,4 orogold 24k moisturizer cream,no description yet
44837,Converse,88.0,19.9663465048,converse cdg,converse cdg,"slight markings on sides, soles appear brand new."
14868,_missing_,30.0,6.29642016872,20 old school yugioh cards,20 old school yugioh cards,conditions vary between moderately played to near mint. most of the cards are in great shape includes some lob stuff like raigeki and gaia some mrd and mrl stuff like mirror force and kazejin yugioh yu gi oh
15850,Hello Kitty,75.0,16.88148811,hello kitty tv,hello kitty tv,my little girls loved this tv and so will yours. it comes with hello kitty remote and shows great with an antenna or cable. serious inquiries only!
134184,Bath & Body Works,11.0,50.0295645674,listing for customer,listing for customer,bath & body works rare/htf pumpkin frost pocketbac old school holder firm
74199,_missing_,44.0,9.58161134399,littlest pet shop,littlest pet shop,littlest pet shop
42176,_missing_,109.0,24.8649686483,men's boots,men ' s boots,men's size 11.5 durango cowboy boots
113821,_missing_,120.0,27.4487754931,custom made chanel hats,custom made chanel hats,adjustable custom made selling all 3 together make your best offer
71287,_missing_,89.0,20.1400183499,sterling silver promise ring size 5 3/4,sterling silver promise ring size 5 3 4,"excellent condition, cleaned in march. only been worn for a couple of months! original price was [rm]"
27479,Victoria's Secret,126.0,28.8179932127,bundle for redmb,bundle for redmb,brand new victoria's secret mini perfume gift set. price is firm. don't forget to bundle to save on shipping!
49419,_missing_,70.0,15.6673010108,victorian wall fan gothic black spanish,victorian wall fan gothic black spanish,"burwood wall fan decor 43"" wide. black with gold highlights. gothic spanish asian victorian resin #4402. excellent condition."
110227,Disney,70.0,15.66502647,listing for isabel only,listing for isabel only,"cheshire cat pass case [rm] alice keychain [rm] donald tsum tsum easter [rm] daisy tsum tsum [rm] total [rm] free shipping this is such a cute disney re-ment initial keychains set alice & cheshire cat  it's very cute to have them  come visit my page if you are looking for some japan disney items, you will like it for sure   *'  please keep in mind that this item has been imported from japan and i payed the shipping from japan. disney japan kawaii gift cute alice in wonderland free shipping kiko's shop"
14970,_missing_,60.0,13.3173221887,rha 750i in-ear headphone,rha 750i inear headphone,brand new! never been open! retail value at [rm]! noise isolating headphones! stainless steel construction! handmade driver! 3 year warranty! designed in uk! compared to shure!
93507,_missing_,100.0,22.7018550755,burgundy velvet mermaid dress,burgundy velvet mermaid dress,"size 4, very form fitting, and only worn once!"
145812,Lilly Pulitzer,166.0,38.1746469208,lilly pulitzer southern charm briella,lilly pulitzer southern charm briella,size xl. very good preowned condition. no offers/trades please. check out my other lilly items
108767,Gucci,600.0,139.898541449,gucci tiger dive watch,gucci tiger dive watch,"watch is brand new, i don't have the original box"
133625,_missing_,4.0,20.334955729,iphone 6 plus metal bumper frame,iphone 6 plus metal bumper frame,"gold trimmed hybrid metal aluminum bumper frame slim shockproof case cover for iphone 6 plus 5.5 black, pink, silver, blue, gold. 1 for [rm] 2 for [rm] 3 for [rm]"
52189,Fender,135.0,30.8706737415,fender squier bass guitar skull mb-4,fender squier bass guitar skull mb4,fender squier black electric bass guitar. has a skull and crossbones inlay on the 12th fret and the body of the guitar. completely stock. shaped like a precision or p-bass. 3 pickups and 3 knobs.
100091,_missing_,65.0,14.4576058827,44 skylanders trap team crystals in case,44 skylanders trap team crystals in case,complete collection of skylanders trap team crystals including kaos in premium case.
3112,_missing_,75.0,16.7974729659,child mannequin form,child mannequin form,no description yet
54133,_missing_,55.0,12.112451252,revision nectifirm face wash 5 glow,revision nectifirm face wash 5 glow,like new only use handle times 90% full 1 free tube glamglow
17997,_missing_,142.0,32.4794624114,msu bulldogs spirit jersey nwt,msu bulldogs spirit jersey nwt,size large 25 armpit to armpit oversized shirt with thumb holes retail [rm] this is a bundle of 12 shirts
39959,Apple,20.0,88.7278188023,"freeship box for the macbook pro 13""",freeship box for the macbook pro 13,"2012 macbook pro 13"" box comes with everything in the pictures- screen wipe, plastic holder inside, & cushion on lid"
132449,_missing_,7.0,33.2478599716,turtle disguised,turtle disguised,"this is a small plush turtle disguised as a bunny , hes green , big eyes , 5 x 5 , his shell is brown, has easter bunny eras on his head . oh and a white bunny tail and hes so soft .has original price tag & tush tag by russ . head is plush and bidy has pvc pellets."
65835,_missing_,89.0,20.020962728,boys bundle,boys bundle,shoes shirts and pants
60076,Children's Place,64.0,14.1758098251,girls clothes lot,girls clothes lot,"40 pieces. size 3t-4t. great condition. carter, old navy, children's place"
67247,Customized & Personalized,100.0,22.5807987438,sweet 16 dress,sweet 16 dress,"paid [rm] for it but it's going to sit in my closet so, missing only 2 gems, it was the tiny ones not the big ones so it's not noticeable plus your arm would cover it, i am a size 0,1,2 but if you are a 0,1,2,3,4 this dress would fit because in the back it is tie up and very adjustable. dress as is, no other flaws then those two gems."
19511,Rae Dunn,136.0,30.9818206272,amber,amber,bundle reserved for amber
7497,Nintendo,3.0,16.1372245186,i carly wii game  flash sale  ,i carly wii game flash sale,icarly wii game
75052,James Avery,304.0,70.1205424836,james avery size 8 garnet & gold ring,james avery size 8 garnet gold ring,love this ring! garnet and gold adoree james avery ring  14k 
128167,Hasbro,70.0,15.5549317349,transformers brawl blast off swindle,transformers brawl blast off swindle,combiner wars trio plus combiner shockwave for my friend!
16809,MAC,80.0,17.8762827849,mac barbie lipsticks,mac barbie lipsticks,"gently used, no box. 100% authentic, please see above photos for details on the lipsticks. pricing individually [rm] per lipstick. bundle discount only valid with purchase of both barbie lipsticks. final sale"
92013,_missing_,4.0,20.4711689146,"""180"" dvd",180 dvd,"180: 33 intense minutes that will rock your world!  description: '180' has been called 33-minutes of 'video adrenalin', 'mind-blowing', 'an emotional rollercoaster', 'an experience'. it's evangelistic and carries a unique pro-life message in which you will see eight people who are pro-abortion, change their minds. review: 'brilliant and powerful.' joseph farah - ceo wnd.com --wnd.com  'life-changing!' jim bob & michelle duggar --tlc's '19 kids & counting'  'mind-blowing and unforgettable!' randy alcorn --eternal perspective ministries about the film: interviews with people on the street regarding social issues. about the director: ray comfort is a best-selling author known worldwide. he has written more than fifty books, including: the evidence bible, the way of the master, intelligent design vs. evolution, and god doesn't believe in athiests. he is co-host with kirk camerson of the award-winning tv program the way of the master, seen on 20 channels worldwide."
95372,PINK,5.0,24.8080211129,   pink loves michigan   ,pink loves michigan,brand new with tags! [rm] in stores. pink loves michigan banner
34102,WWE,239.0,54.7502331924,wwe authentic replica belt with watch!,wwe authentic replica belt with watch,"i'm selling the authentic adult replica wwe world heavyweight championship belt and watch. they retail for [rm] / [rm]. this has the metal plates, and has interchangeable side plates. this has protective plastic still on the belt edge and button covers. i will wrap in bubble before shipping. i purchased for display purposes, but it stayed boxed away until after i could no longer return it. i've owned it just under 2 months now, and haven't taken it out until now. the belt weighs around 5-7 pounds, and fits up to a 46"" waist. please consider this sites seller fee before asking for a deal. price is firm. i am already losing over [rm] after the price + 10% seller fee, and you are saving [rm] for a like new belt and watch. the watch has been adjusted, and fits an average male wrist without being too loose, a large concern from people who own the watch. only worn to be adjusted. *i am not including belt bag. it was sold to a collector. the pieces are in perfect condition.*"
82317,Kylie Cosmetics,139.0,31.5157411213,vacation set,vacation set,kylie vacation set
14918,Nintendo,106.0,23.8420405514,nintendo ds lite,nintendo ds lite,brand new in the box. unopened.
46074,_missing_,50.0,10.8398193213,glasses,glasses,"stephane christian is a korean designer brand brand new optical glasses just got them, but don't fit me"
124461,Louis Vuitton,36.0,158.439028973,louis vuitton messenger bag,louis vuitton messenger bag,"comes with its actual dust bag, the clasp is broken. the outside and inside is in good condition. the inside is a bit dirty, just because of the laptop."
109090,_missing_,50.0,10.8288439749,oversized button down,oversized button down,no description yet
112435,_missing_,84.0,18.7140535235,hold,hold,no description yet
62190,Victoria's Secret,5.0,24.8934483215,victoria secret gift card,victoria secret gift card,get [rm] off when you use your angles card in stores and online
49324,Funko,165.0,37.437997158,tony the tiger funko pop frosted flakes,tony the tiger funko pop frosted flakes,up for grabs is a mint tony the tiger funko shop exclusive! this guy is mint in box and ready for a new home! since this guy is so hard to come by i will send him in a pop stacks protector. check my ratings and buy with confidence!
94841,Wrangler,89.0,19.8319692908,fr wrangler 32x32 men (5),fr wrangler 32x32 men 5,5 wrangler fire retardant jeans worn several times. no major rips/holes. some of the jeans have stains from work. size 32x32
11759,Stuart Weitzman,615.0,141.5820257,stuart weitzman tieland boots,stuart weitzman tieland boots,"over the knee suede boots 3"" block heel never been worn"
